data_name,removed_label,n_pcs,mars_time_s,srnc_time_s,rejection_time_s,timestamp
bench,0,5,3.144672332999999,0.7634855419999997,1.174561583000001,2025-11-09 16:02:14
bench,0,10,2.2525790000000008,1.0627361660000005,1.3323187500000007,2025-11-09 16:02:19
bench,0,20,2.545549416000002,0.9735617920000017,1.2364042089999998,2025-11-09 16:02:23
bench,0,30,2.6245527499999994,1.1600902499999997,1.3784379169999994,2025-11-09 16:02:28
bench,0,40,2.687762457999998,1.1490669999999987,1.3112397090000023,2025-11-09 16:02:34
bench,0,50,2.505694209000005,1.2382712920000003,1.4773942090000034,2025-11-09 16:02:39
bench,0,60,2.6332889999999978,1.253772374999997,1.4297691669999963,2025-11-09 16:02:44
bench,0,70,2.9193191250000012,1.3316700000000026,1.4166868339999965,2025-11-09 16:02:50
bench,0,80,2.578537333,1.4840247499999961,2.195155665999998,2025-11-09 16:02:56
bench,0,90,5.005862958000002,7.172677250000007,2.9148857500000105,2025-11-09 16:03:11
bench,0,100,4.389383707999997,1.560948124999996,1.653382833000009,2025-11-09 16:03:19
bench,1,5,2.92248462500001,0.9794428329999931,1.491375167000001,2025-11-09 16:03:24
bench,1,10,2.9112096670000085,1.0935002920000017,1.7021757090000023,2025-11-09 16:03:30
bench,1,20,3.021017209000007,1.726069541000001,1.4611926669999917,2025-11-09 16:03:36
bench,1,30,2.8898994589999916,1.2531635419999958,1.5085689999999943,2025-11-09 16:03:42
bench,1,40,2.7719811249999964,1.2762072080000024,2.0060027500000075,2025-11-09 16:03:48
bench,1,50,3.085995834000002,1.411013667000006,1.3042297080000083,2025-11-09 16:03:54
bench,1,60,2.5420876249999935,1.437838874999997,1.8586153749999994,2025-11-09 16:04:00
bench,1,70,2.9348976249999907,2.0154542080000084,1.4197953750000067,2025-11-09 16:04:06
bench,1,80,2.527536208000001,1.5630435000000062,1.886157790999988,2025-11-09 16:04:12
bench,1,90,2.817461165999987,1.5506374999999935,1.769183417000022,2025-11-09 16:04:18
bench,1,100,2.488667208999999,1.626501332999993,2.0381640420000053,2025-11-09 16:04:24
bench,2,5,2.9169019170000183,1.179602000000017,1.9260381250000194,2025-11-09 16:04:30
bench,2,10,2.529099042000013,0.9316847079999775,1.0667342920000067,2025-11-09 16:04:35
bench,2,20,2.734083333000001,1.1669750840000006,1.9041301669999768,2025-11-09 16:04:41
bench,2,30,2.7991932920000124,1.12190262499999,1.2832927919999975,2025-11-09 16:04:46
bench,2,40,2.423782334000009,1.2885511670000085,1.9152526249999937,2025-11-09 16:04:51
bench,2,50,2.5562899169999866,1.3011787499999912,1.6219558749999976,2025-11-09 16:04:57
bench,2,60,2.3573357919999864,1.3467487919999996,2.0185929589999887,2025-11-09 16:05:03
bench,2,70,2.8606837920000032,1.4688377079999952,2.170227834000002,2025-11-09 16:05:09
bench,2,80,2.711242707999986,1.4860026659999903,1.5743329999999958,2025-11-09 16:05:15
bench,2,90,2.7580932080000196,1.666287791000002,2.2569668339999964,2025-11-09 16:05:22
bench,2,100,3.117530875,1.5492772499999887,1.4369733340000153,2025-11-09 16:05:28
bench,3,5,2.7003411249999942,1.1244764580000037,2.204976875,2025-11-09 16:05:34
bench,3,10,2.550903833999996,1.1167607080000153,1.3421889999999905,2025-11-09 16:05:39
bench,3,20,2.3058637919999967,1.1332230419999973,1.2019595419999973,2025-11-09 16:05:44
bench,3,30,2.097983125000013,1.2753083750000087,1.262327374999984,2025-11-09 16:05:48
bench,3,40,2.4258240829999806,1.2328404170000056,1.4418341669999961,2025-11-09 16:05:53
bench,3,50,2.4654520420000097,1.3120362500000056,1.2092411250000055,2025-11-09 16:05:58
bench,3,60,2.102640084000001,1.5515874580000002,1.247643332999985,2025-11-09 16:06:03
bench,3,70,2.4257740830000216,1.424108834000009,1.2276450830000272,2025-11-09 16:06:08
bench,3,80,2.764936542000015,1.5905558750000068,1.382847959000003,2025-11-09 16:06:14
bench,3,90,2.6379971249999983,1.6641623749999894,1.5213397080000277,2025-11-09 16:06:20
bench,3,100,2.502577083999995,1.6621312080000052,1.5792386660000375,2025-11-09 16:06:26
bench,4,5,2.753758625000046,0.8865687919999914,1.4877216670000166,2025-11-09 16:06:31
bench,4,10,2.739018415999965,0.9433267080000292,1.2927715000000148,2025-11-09 16:06:36
bench,4,20,2.910444167000037,1.1334730830000126,1.3873051249999548,2025-11-09 16:06:41
bench,4,30,2.4467003750000345,1.206312459000003,1.4366663749999589,2025-11-09 16:06:46
bench,4,40,4.821346790999996,12.200243708000016,1.4650095420000184,2025-11-09 16:07:05
bench,4,50,2.685054917000002,1.4044924169999717,1.8296664589999523,2025-11-09 16:07:11
bench,4,60,2.769744125000045,1.5434011250000026,1.8059941249999838,2025-11-09 16:07:17
bench,4,70,2.5235602090000384,1.4488743339999814,1.6077747500000328,2025-11-09 16:07:22
bench,4,80,2.687843833000045,1.7679136670000162,1.4083221249999838,2025-11-09 16:07:28
bench,4,90,2.469330124999999,1.698729291999996,1.680662792000021,2025-11-09 16:07:34
bench,4,100,2.7286954580000042,1.717802249999977,2.2230357079999976,2025-11-09 16:07:41
bench,AVERAGE,AVERAGE,2.772372112945459,1.6477918984909092,1.6070248812000003,
