data_name,removed_label,n_pcs,method,adj_rand,accuracy,recall,precision,f1_score
bench,0,5,SRNC,0.29084699853090296,0.2929824561403509,0.2929824561403509,0.23015272405854123,0.2235883638399277
bench,0,5,Rejection,0.23926597331431645,0.18771929824561404,0.18771929824561404,0.15656640850394413,0.14570417371981453
bench,0,5,MARS,-0.016202536765853776,0.24912280701754386,0.20617066015304117,0.22594263467361916,0.19114323726926605
bench,0,10,SRNC,0.29486224859732274,0.39824561403508774,0.39824561403508774,0.5198461770472025,0.36775289354944557
bench,0,10,Rejection,0.2772544469863983,0.39649122807017545,0.39649122807017545,0.3176529122126991,0.34059041596093426
bench,0,10,MARS,0.009192014135883483,0.3157894736842105,0.2300000645635282,0.39809526351375396,0.20797334305635937
bench,0,20,SRNC,0.3486337297304107,0.39649122807017545,0.39649122807017545,0.5294222818191977,0.37698274756550476
bench,0,20,Rejection,0.2844197641132656,0.42280701754385963,0.42280701754385963,0.3192721605450196,0.3539977843225293
bench,0,20,MARS,0.1068767665300622,0.4105263157894737,0.3858843515870741,0.43541317672511026,0.37153467706071286
bench,0,30,SRNC,0.3486571699142707,0.39473684210526316,0.39473684210526316,0.532202216066482,0.37918530710444875
bench,0,30,Rejection,0.2965626022798119,0.42280701754385963,0.42280701754385963,0.3147496170608212,0.3518402069771099
bench,0,30,MARS,0.08512030499357896,0.39649122807017545,0.3740876071361635,0.4614220620782046,0.3716790533420637
bench,0,40,SRNC,0.35705633584183294,0.39824561403508774,0.39824561403508774,0.532202216066482,0.3819802847446276
bench,0,40,Rejection,0.29657002077464417,0.4263157894736842,0.4263157894736842,0.3258551423919971,0.3598150930092111
bench,0,40,MARS,0.01467132861484803,0.29473684210526313,0.24670289552742086,0.2930522789749542,0.25344868252215685
bench,0,50,SRNC,0.34938792733914203,0.39649122807017545,0.39649122807017545,0.532202216066482,0.3810680453821984
bench,0,50,Rejection,0.31461957535049917,0.42105263157894735,0.42105263157894735,0.3414469999945784,0.36497565970063006
bench,0,50,MARS,0.11833150132686916,0.38596491228070173,0.36986822132129016,0.4260813743884045,0.3561894772892675
bench,0,60,SRNC,0.35147729713268006,0.39649122807017545,0.39649122807017545,0.5344754503708937,0.3818065817095338
bench,0,60,Rejection,0.3160293187565551,0.42105263157894735,0.42105263157894735,0.3404549013266594,0.3647582535331174
bench,0,60,MARS,0.07397029646630879,0.3526315789473684,0.3353044139298429,0.33759228813387276,0.3293249926409409
bench,0,70,SRNC,0.34508045654670066,0.39649122807017545,0.39649122807017545,0.5337076023391814,0.3819644876243969
bench,0,70,Rejection,0.3034361100184732,0.41754385964912283,0.41754385964912283,0.33661610547356796,0.3611864333059416
bench,0,70,MARS,0.14137450968787102,0.3929824561403509,0.37521800308244735,0.4401694941537242,0.37868387519476626
bench,0,80,SRNC,0.3454210965907874,0.4,0.4,0.5343883357041251,0.38598412417947026
bench,0,80,Rejection,0.2999752483030216,0.41403508771929826,0.41403508771929826,0.3367244926682207,0.359507241182676
bench,0,80,MARS,0.27762883348283435,0.49473684210526314,0.5173387685408618,0.5192646219239472,0.4789729741833953
bench,0,90,SRNC,0.34915076584461635,0.39824561403508774,0.39824561403508774,0.535171261487051,0.38528812658609
bench,0,90,Rejection,0.32475209705802294,0.41578947368421054,0.41578947368421054,0.3491246782621449,0.36624245152131396
bench,0,90,MARS,0.4034689196547069,0.5771929824561404,0.5833293371081852,0.5756043270230913,0.5615831209127263
bench,0,100,SRNC,0.34573834380470747,0.3929824561403509,0.3929824561403509,0.535485621269669,0.3805299058695795
bench,0,100,Rejection,0.2845635139993409,0.41754385964912283,0.41754385964912283,0.3194719708728718,0.3530158857538628
bench,0,100,MARS,0.24876438828337555,0.4087719298245614,0.41878349061266074,0.42002146941121377,0.378540997426755
bench,1,5,SRNC,0.19208724627679086,0.3140350877192982,0.3140350877192982,0.6519971833193914,0.2464266215284113
bench,1,5,Rejection,0.18554042466904483,0.3157894736842105,0.3157894736842105,0.5294235685477215,0.28036974128688563
bench,1,5,MARS,0.04035042022759908,0.36140350877192984,0.32589807030155066,0.5464960332506842,0.32033383843534813
bench,1,10,SRNC,0.3303376780954413,0.5508771929824562,0.5508771929824562,0.7213115374758278,0.5729118092335302
bench,1,10,Rejection,0.23245736530764577,0.4298245614035088,0.4298245614035088,0.6623920913394598,0.4518611432264338
bench,1,10,MARS,0.019385311173279247,0.3385964912280702,0.31562103046063966,0.4772883872883873,0.3096316325661138
bench,1,20,SRNC,0.3491891415279719,0.5368421052631579,0.5368421052631579,0.7637336932073774,0.5922582786404903
bench,1,20,Rejection,0.24419782281531144,0.44035087719298244,0.44035087719298244,0.6598332749436314,0.4650242327854161
bench,1,20,MARS,0.07206790991379941,0.387719298245614,0.420616126550087,0.5359205447895407,0.3814292569351173
bench,1,30,SRNC,0.3369321902461615,0.5263157894736842,0.5263157894736842,0.7619467450351768,0.5801872879477606
bench,1,30,Rejection,0.2304253130381301,0.4245614035087719,0.4245614035087719,0.656666440404752,0.44847980397961223
bench,1,30,MARS,0.14330596421852843,0.42280701754385963,0.4011069806557317,0.31385512471961385,0.3427082411778078
bench,1,40,SRNC,0.34411282326436265,0.5263157894736842,0.5263157894736842,0.7738759466973445,0.5902840805516527
bench,1,40,Rejection,0.23939383061153258,0.43859649122807015,0.43859649122807015,0.6610003323363244,0.4650400615687868
bench,1,40,MARS,0.11290058988973106,0.43333333333333335,0.40364252480740637,0.5561562368192098,0.38806035989557347
bench,1,50,SRNC,0.33871775276550914,0.5210526315789473,0.5210526315789473,0.7759329262382476,0.5873684014083213
