adj_rand,accuracy,recall,precision,f1_score
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
0.6018088118749693,0.8074265975820379,0.8074265975820379,0.7863623117896322,0.7958487460405116
1.0,1.0,1.0,1.0,1.0
