data_name,removed_label_sampled,mars_time,srnc_time,rejection_time,timestamp
PMBCs,1,4.84503436088562,3.545121192932129,2.2730867862701416,2025-11-09 17:38:53
PMBCs,2,3.801496982574463,2.5811660289764404,5.671914339065552,2025-11-09 17:39:05
PMBCs,3,11.058809757232666,8.369532823562622,3.1445372104644775,2025-11-09 17:39:28
PMBCs,4,4.6136229038238525,6.007495880126953,3.616466999053955,2025-11-09 17:39:42
PMBCs,5,4.475700378417969,5.717304229736328,3.770810842514038,2025-11-09 17:39:56
PMBCs,6,4.7163848876953125,7.156360149383545,4.403399229049683,2025-11-09 17:40:12
PMBCs,7,4.83725118637085,6.862010955810547,4.172283172607422,2025-11-09 17:40:28
PMBCs,8,4.5875890254974365,7.393980979919434,3.702172040939331,2025-11-09 17:40:44
PMBCs,9,4.821453094482422,7.283801078796387,4.592587947845459,2025-11-09 17:41:00
AVERAGE,,5.3063713974422875,6.101863702138265,3.9274731742011175,
