data_name,removed_label,n_pcs,method,adj_rand,accuracy,recall,precision,f1_score
PMBCs,1,5,SRNC,0.7549535353152813,0.8974559686888454,0.8974559686888454,0.9141552993939901,0.8793856860985976
PMBCs,1,5,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,1,5,MARS,0.1606539263756132,0.4309197651663405,0.3350368640189315,0.29823497356378226,0.2807944978328276
PMBCs,1,10,SRNC,0.9502000971593538,0.9765166340508806,0.9765166340508806,0.9775606868679512,0.9756043210521663
PMBCs,1,10,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,1,10,MARS,0.23832812575808054,0.5303326810176126,0.40560982227648895,0.36137868880791707,0.35203911480520433
PMBCs,1,20,SRNC,0.9629812804826382,0.9835616438356164,0.9835616438356164,0.9839132581437746,0.9832108378749504
PMBCs,1,20,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,1,20,MARS,0.19746379021639107,0.449706457925636,0.3765368504951838,0.3863953440045127,0.34637375052665265
PMBCs,1,30,SRNC,0.9651715487662853,0.9855185909980431,0.9855185909980431,0.9855467559053573,0.9850183724274129
PMBCs,1,30,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,1,30,MARS,0.32025972138171566,0.5651663405088062,0.40287274453941124,0.38552188544278837,0.36241834625816255
PMBCs,1,40,SRNC,0.9645637989652865,0.9859099804305284,0.9859099804305284,0.9860017201632979,0.9855552801185997
PMBCs,1,40,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,1,40,MARS,0.18688869584985499,0.47045009784735814,0.4125,0.34683500207809587,0.32407416918099013
PMBCs,1,50,SRNC,0.9643964511481817,0.9863013698630136,0.9863013698630136,0.986374331933224,0.9860689076177755
PMBCs,1,50,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,1,50,MARS,0.35363353850128504,0.5585127201565557,0.38548110839777505,0.4128319129946915,0.3777052982226947
PMBCs,1,60,SRNC,0.9664795554525745,0.986692759295499,0.986692759295499,0.9867579380664625,0.9864766216572763
PMBCs,1,60,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,1,60,MARS,0.20479072150850708,0.4395303326810176,0.47684761226427896,0.40846133706510224,0.35963724191616947
PMBCs,1,70,SRNC,0.9691196787453344,0.9882583170254403,0.9882583170254403,0.9887017175081979,0.9883193710559531
PMBCs,1,70,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,1,70,MARS,0.21850209202751264,0.44422700587084146,0.3633267195767196,0.4170630083511385,0.35895752185294233
PMBCs,1,80,SRNC,0.9714055206639873,0.989041095890411,0.989041095890411,0.9890955688069335,0.9889130668843253
PMBCs,1,80,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,1,80,MARS,0.19982381763211843,0.4735812133072407,0.39304919617419615,0.3694263919402883,0.34342719855550463
PMBCs,1,90,SRNC,0.970250899782376,0.9886497064579256,0.9886497064579256,0.9887098460128078,0.988511355054006
PMBCs,1,90,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,1,90,MARS,0.22557660081593048,0.5080234833659492,0.40040572853072853,0.3618523859794697,0.34558023415011796
PMBCs,1,100,SRNC,0.9681524795620204,0.9882583170254403,0.9882583170254403,0.9883632119730019,0.9880975162252521
PMBCs,1,100,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,1,100,MARS,0.24509248022089858,0.4821917808219178,0.4484059150725817,0.4163071010939423,0.37373710570243474
PMBCs,2,5,SRNC,0.6955819438449914,0.8617021276595744,0.8617021276595744,0.8957106564040896,0.876738686761432
PMBCs,2,5,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,2,5,MARS,0.15107166464995003,0.40106382978723404,0.27290655605529024,0.26726898363447604,0.24230755339784457
PMBCs,2,10,SRNC,0.8612151265073668,0.9367021276595745,0.9367021276595745,0.9501991321728552,0.9410599784637617
PMBCs,2,10,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,2,10,MARS,0.26169497979539946,0.5521276595744681,0.5132580914174238,0.47090895056124066,0.4522650104296615
PMBCs,2,20,SRNC,0.8863186770555906,0.9531914893617022,0.9531914893617022,0.9592164580539956,0.9551390231153084
PMBCs,2,20,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,2,20,MARS,0.3382703361343333,0.5324468085106383,0.4357434726471328,0.44098020512844155,0.38999832166250126
PMBCs,2,30,SRNC,0.8981013927271227,0.9579787234042553,0.9579787234042553,0.9635862194904645,0.9599948096740627
PMBCs,2,30,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,2,30,MARS,0.3427717755705401,0.5340425531914894,0.3971853280897644,0.37546994961560193,0.37463041881376025
PMBCs,2,40,SRNC,0.9065879354807843,0.9632978723404255,0.9632978723404255,0.9663090252014727,0.964503399016826
PMBCs,2,40,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,2,40,MARS,0.2903985343409471,0.5404255319148936,0.3950129731379731,0.3558909031552977,0.34569290393700985
PMBCs,2,50,SRNC,0.910295098112051,0.9654255319148937,0.9654255319148937,0.9679937454679771,0.9663957541934419
PMBCs,2,50,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,2,50,MARS,0.3256049823492671,0.5218085106382979,0.47497863600234036,0.46040716378302743,0.4155777718028261
PMBCs,2,60,SRNC,0.9204371724783595,0.9686170212765958,0.9686170212765958,0.9722339586463066,0.9701049203428055
PMBCs,2,60,Rejection,1.0,1.0,1.0,1.0,1.0
PMBCs,2,60,MARS,0.32675737133870314,0.5345744680851063,0.4938781438885929,0.46738491545186744,0.43234321163470046
