data_name,removed_label,n_pcs,mars_time_s,srnc_time_s,rejection_time_s,timestamp
PMBCs,1,5,5.340778624999999,4.4351076250000006,2.4764424170000012,2025-11-09 17:39:32
PMBCs,1,10,4.912727541999999,3.5258012080000043,2.866736666999998,2025-11-09 17:39:43
PMBCs,1,20,3.9440652919999906,3.8393985829999906,2.688991625,2025-11-09 17:39:54
PMBCs,1,30,4.554565291999992,3.8862183339999916,2.192461707999996,2025-11-09 17:40:04
PMBCs,1,40,3.8825853329999944,4.278988125000012,2.2892813750000016,2025-11-09 17:40:15
PMBCs,1,50,4.204114790999995,4.4310282919999935,3.2081823329999963,2025-11-09 17:40:26
PMBCs,1,60,4.044036874999989,4.686104083999993,2.37544270799998,2025-11-09 17:40:38
PMBCs,1,70,4.018898500000006,5.2940599169999984,2.3306215000000066,2025-11-09 17:40:49
PMBCs,1,80,4.02057720800002,4.951559500000002,3.2752201670000147,2025-11-09 17:41:02
PMBCs,1,90,3.4048488340000063,5.008629040999978,2.1043859160000125,2025-11-09 17:41:12
PMBCs,1,100,3.5128241670000193,5.197155417000005,2.170881166999976,2025-11-09 17:41:23
PMBCs,2,5,3.0383728750000216,3.3799578750000023,2.2497153330000117,2025-11-09 17:41:32
PMBCs,2,10,3.2004697499999963,2.7614702920000127,2.209589457999982,2025-11-09 17:41:40
PMBCs,2,20,3.0924994160000097,2.7877829999999904,2.271866667000012,2025-11-09 17:41:48
PMBCs,2,30,3.2104951249999942,2.7971248750000086,2.215545375000005,2025-11-09 17:41:56
PMBCs,2,40,2.742637292000012,2.7652168750000214,2.2354071249999947,2025-11-09 17:42:04
PMBCs,2,50,2.9894497500000057,2.9743489999999895,2.3425496250000037,2025-11-09 17:42:12
PMBCs,2,60,3.1854140000000086,3.144252832999996,2.38868341700001,2025-11-09 17:42:21
PMBCs,2,70,2.9413557910000065,3.1702858749999905,2.418766583000007,2025-11-09 17:42:30
PMBCs,2,80,2.9585656250000056,3.2313337079999656,2.4478710829999955,2025-11-09 17:42:38
PMBCs,2,90,3.3083728329999644,3.4303627080000183,2.5262147909999726,2025-11-09 17:42:48
PMBCs,2,100,2.844636707999996,3.4245839589999605,2.5301098750000506,2025-11-09 17:42:56
PMBCs,3,5,4.917683333000014,6.994835332999969,2.6683696250000253,2025-11-09 17:43:11
PMBCs,3,10,4.4127074170000355,5.945927041999994,2.4609236669999746,2025-11-09 17:43:24
PMBCs,3,20,4.540161957999999,6.423113541999953,2.5671643750000044,2025-11-09 17:43:37
PMBCs,3,30,4.841204209000011,6.10651658300003,2.6152955830000337,2025-11-09 17:43:51
PMBCs,3,40,3.938222332999999,6.536714791999998,2.6447620839999786,2025-11-09 17:44:04
PMBCs,3,50,3.978354333000027,7.055723041000022,2.6870378749999873,2025-11-09 17:44:18
PMBCs,3,60,4.314264499999979,7.48316941600001,2.770777291999991,2025-11-09 17:44:32
PMBCs,3,70,4.292469583000013,7.5659098749999885,2.7968217499999923,2025-11-09 17:44:47
PMBCs,3,80,4.156169250000005,7.743323250000003,2.888186000000019,2025-11-09 17:45:02
PMBCs,3,90,4.410169916000029,8.274165582999956,2.9122852090000038,2025-11-09 17:45:18
PMBCs,3,100,4.788181957999996,8.380793625000024,2.9572286249999706,2025-11-09 17:45:34
PMBCs,4,5,3.7893312080000214,6.111874124999986,2.4899284580000085,2025-11-09 17:45:46
PMBCs,4,10,3.622048624999991,5.684314541999981,2.4500543749999792,2025-11-09 17:45:58
PMBCs,4,20,3.983176125,6.044416333000015,2.587918375000015,2025-11-09 17:46:11
PMBCs,4,30,3.837802375000024,5.88539266600003,2.591739333000021,2025-11-09 17:46:23
PMBCs,4,40,4.181223208000006,6.545538791000013,2.6365535420000015,2025-11-09 17:46:36
PMBCs,4,50,4.137125834000017,6.666110042000014,2.6704827499999055,2025-11-09 17:46:50
PMBCs,4,60,4.0931576250000035,7.360701666999944,2.7235986250000224,2025-11-09 17:47:04
PMBCs,4,70,4.129206791000001,7.169746916999998,2.7726053339999908,2025-11-09 17:47:18
PMBCs,4,80,4.111665457999948,7.414839333000032,2.8400077920000513,2025-11-09 17:47:32
PMBCs,4,90,3.940129875000025,7.8645238340000105,2.896203208000088,2025-11-09 17:47:47
PMBCs,4,100,3.76328920800006,7.773570457999995,2.947287499999902,2025-11-09 17:48:02
PMBCs,5,5,4.013605083000016,6.140399957999989,2.5075744590000113,2025-11-09 17:48:14
PMBCs,5,10,3.795811959000048,5.306065791000037,2.3618616659999816,2025-11-09 17:48:26
PMBCs,5,20,3.668832082999984,6.097254958000008,2.4112666249999393,2025-11-09 17:48:38
PMBCs,5,30,3.8559384169999475,6.019546291999973,2.4524938340000517,2025-11-09 17:48:50
PMBCs,5,40,3.782780291999984,6.606774083000005,2.5186776250000094,2025-11-09 17:49:03
PMBCs,5,50,3.7566634579999345,6.950639833999958,2.5484552500000746,2025-11-09 17:49:17
PMBCs,5,60,3.8000280410000187,7.374650541999927,2.6297747080000136,2025-11-09 17:49:30
PMBCs,5,70,3.8232282919999534,7.463226666000082,2.671105916999977,2025-11-09 17:49:44
PMBCs,5,80,3.7782782090000637,7.745290749999981,2.8274782089999917,2025-11-09 17:49:59
PMBCs,5,90,4.344435207999936,8.586648707999984,2.8057162919999428,2025-11-09 17:50:15
PMBCs,5,100,4.2024374589999525,8.110294415999988,3.03129787499995,2025-11-09 18:05:54
PMBCs,6,5,4.477615291999996,7.4390542500000265,2.632182582999917,2025-11-09 18:06:08
PMBCs,6,10,4.119142124999939,6.383381874999941,2.511068249999994,2025-11-09 18:06:21
